station_name,latitude,longitude
下花园,40.4851,115.273
下花园北,40.502046,115.295259
下蜀,32.172389,119.163226
下辛店,30.8453,113.80053
下过溪,26.432797,118.411046
下陆,30.18138781,114.9763527
下马塘,41.031861,123.736167
不冻泉,35.536429,93.93134
且午,26.38833333,104.2611111
且末,38.184923,85.489784
丙谷,26.8276466,102.0809902
东丰,42.652216,125.539828
东乐,38.84517,100.80477
东乡,28.2264,116.627
东二道河,47.6841461,134.1140699
东京城,44.1181151,129.2251846
东佳木斯,46.78183751,130.4348616
东元庆,35.5715767,112.933783
东光,37.891758,116.525692
东关,31.492666,118.009096
东兴,40.555774,110.188278
东兴市,21.57831667,108.0133556
东冲铺,27.736396,113.369994
东凌井,38.03781,112.92673
东升,22.604722,113.276944
东升坝,28.886658,106.678356
东华所,30.6983628,104.1482594
东南营子,42.3003057,119.1377804
东双桥,34.85263611,113.591775
东双河,32.0326042,114.0962382
东口,34.373451,106.693973
东台,32.87611111,120.3391667
东园,40.27666667,116.0944444
东坡,35.1280101,109.3940966
东城南,22.99018056,113.7699417
东大坝,41.65675,117.81163
东大道,41.436092,120.046959
东孚,24.548122,117.927369
东孝,29.12972222,119.71
东孝所,29.1218619,119.6821001
东安,26.4018,111.3046
东安东,26.38083333,111.3319444
东富,44.36442,126.88839
东山,37.6703986,95.5021861
东岔,34.443211,106.534746
东岳公园,29.570592,106.202012
东平山,45.294459,127.456297
东庄,39.26527,113.82369
东戌,36.69493333,113.8142944
东戴河,40.040727,119.841213
东方,19.090057,108.687738
东方红,46.198021,133.076691
东明县,35.26833333,115.0863889
东明村,43.27101,121.2228
东村所,28.3405578,115.933772
东来,43.38728,121.63616
东榆林,39.440657,112.759321
东水,24.24388889,115.1713889
东沙王庄,36.705915,116.940025
东津,46.73777771,127.2091675
东津所,31.9869895,112.2539824
东海,45.2883303,131.3072726
东海县,34.5182,118.7627
东淤地,39.26231,113.90068
东港北,39.90920833,124.1246917
东湾,36.65134,104.7425
东滩,34.20001,108.84549
东环,22.97685722,113.3605097
东田良,35.9960169,112.9238884
东篁店,31.67833,114.03646
东胜,39.814741,109.969529
东胜东,39.7529711,110.0997196
东胜西,39.72339444,109.8720361
东至,30.17491944,117.0231417
东花园,40.34583333,115.7944444
东花园北,40.34143,115.788468
东莞,23.09138889,113.8547222
东莞 西,23.0115755,113.6207538
东莞东,22.969797,114.033919
东莞南,22.847857,114.064107
东莞港,22.9105556,113.6060639
东莞滨海湾,22.768441,113.697118
东莞西,23.011185,113.620869
东营,37.4545,118.4664
东营南,37.356,118.545
东营西,37.362,118.514
东葛,32.175,118.5213889
东辛庄,40.3593385,120.4478743
东边井,47.4084599,127.1057258
东通化,41.768525,126.0391833
东镇,35.42603687,111.3042758
东门,45.740862,126.716188
东阳,37.538452,112.679388
东阳关,36.545241,113.472253
东阳北,29.31564068,120.2744285
东阳所,29.8350828,106.4521858
东韩家,41.70819921,124.5543414
东风,36.796705,118.223885
东风南,40.9754998,100.1842028
丝茅冲,28.225,112.9961111
两家,45.5263513,123.938865
两当,33.776623,106.30656
两所屯,26.2685787,106.009641
两河口,28.83333333,106.7161111
个旧,23.5167719,103.2120272
中仓,39.89606,116.65708
中仙,25.9969326,118.3049825
中伙铺,29.73878478,113.9829696
中兴,40.529861,124.048
中华门,32.0083,118.773
中卫,37.52166667,105.1863889
中卫南,37.47222222,105.1752778
中原,34.76472222,113.6163889
中和,47.67758,124.37459
中嘴,29.3058,107.844608
中固,42.43764778,123.9987468
中国铁道博物馆正阳门展馆,39.89841,116.39414
中垾,31.666658,117.75375
中堂,23.07918611,113.6161278
中堡,36.8170516,103.2081272
中宁,37.5553142,105.6632147
中宁东,37.449217,105.698186
中宁南,37.33479,105.61264
中寨,24.77196275,104.1943567
中小所,40.8758685,122.5693611
中山,22.5467,113.428
中山北,22.56071,113.37706
中川机场,36.50782222,103.6136472
中川机场东,36.51998333,103.634725
中方,27.397963,109.941707
中村,28.388266,117.133374
中梁山,29.44888889,106.4219444
中牟,34.7101,114.0263
中驿,31.13027778,114.8819444
丰乐,31.617372,117.140992
丰乐镇,46.810308,130.8661647
丰南,39.5725,118.0902778
丰台西,39.83916667,116.2483333
丰城,28.186,115.785
丰城东,28.168418,115.806374
丰城南,28.07166667,115.7558333
丰宁,41.1640157,116.6332135
丰广,44.2491,126.7086
丰水村,36.459836,103.983332
丰润西,39.85386,118.0194576
丰都,29.84805556,107.6858806
丰镇,40.43416389,113.1566111
丰镇北,40.44166667,113.1238889
丰顺,23.7538719,116.1862396
丰顺东,23.80513889,116.1856417
临县,37.889024,110.989655
临城,37.46944444,114.6058333
临安,23.624969,102.829922
临川,27.9631,116.25
临巴溪,30.8859204,107.0677056
临平,30.413437,120.291239
临平南,30.3831,120.292
临水,36.433225,114.236118
临汝镇,34.266833,112.619203
临江,41.8014575,126.897169
临江场,29.233327,105.946516
临江寺,30.2259898,104.6168524
临江溪,28.174398,104.2271221
临江镇,28.00342,115.38919
临江门,29.561,106.5712
临汾,36.087175,111.530994
临汾西,36.10166667,111.4594444
临沂,35.037055,118.336058
临沂东,35.117386,118.4378
临沂北,35.196789,118.374854
临沂南,35.0443428,118.4352161
临沧,23.93345,100.11149
临河,40.74292222,107.4293056
临泉,33.024607,115.372095
临泽,39.15578056,100.1583972
临泽南,39.13286944,100.1228444
临洺关,36.77704814,114.4784989
临海,28.88294722,121.2429472
临海东,28.75238,121.251941
临海南,28.811727,121.129698
临淄,36.80433333,118.302625
临淄北,36.905038,118.335019
临清,36.84166667,115.7319444
临湘,29.477222,113.478056
临溪,29.990724,118.5305
临潼,34.38972222,109.2075
临潼东,34.433843,109.250926
临潼北,34.40055556,109.2019444
临澧西,29.43611111,111.6029583
临西,36.9275,115.7080556
临邑,37.3126,116.839
临颍,33.80805556,113.9141667
临高南,19.86926389,109.7554611
丹东,40.1236,124.382
丹东西,39.99855278,124.2570917
丹凤,33.68121111,110.3490694
丹徒,32.11796944,119.5158444
丹水池,30.657,114.339
丹江,32.53670513,111.5132041
丹江口,32.459314,111.382292
丹洲营,40.471309,113.113368
丹灶,23.0135699,112.8948904
丹阳,32.00333333,119.5875
丹阳东,31.956679,119.648708
丹阳北,32.014481,119.669094
丹霞山,24.953192,113.803256
丽春,30.969145,103.862718
丽水,28.44472222,119.9494444
丽水路,34.190824,117.274815
丽江,26.8143,100.25118
丽江东,26.8674361,100.2927136
举人坝,29.79416,106.66354
乃托,28.73954,102.602362
乃林,41.908505,119.2676639
么铺,26.176033,105.839062
义乌,29.3808,120.038
义乌西,29.313539,119.9764612
义井,36.501555,114.146383
义卜寨,39.91451,119.42834
义县,41.525085,121.22376
义县西,41.5346074,121.2040472
义合,23.86305618,114.8872223
义马,34.7223,111.9066
乌丹,42.9321252,118.978031
乌丽,34.34535,92.59352
乌伊岭,48.589737,129.425724
乌兰,36.9539,98.4667
乌兰乌苏,44.273076,85.876
乌兰哈达,41.63204,113.18193
乌兰察布,40.963239,113.152311
乌兰昭,46.44008,123.426772
乌兰木伦,39.3040165,110.1937262
乌兰木图,41.962704,121.287304
乌兰浩特,46.068816,122.057043
乌兰胡同,41.6091374,109.862439
乌兰花,41.9988661,113.0940637
乌兰陶勒盖,38.7047025,109.181162
乌北,43.877637,87.472966
乌固诺尔,49.151936,119.319822
乌图美什,36.8955471,93.1925905
乌图美仁,36.8955471,93.1925905
乌奴耳,48.87164974,121.2413912
乌审旗,38.5444838,108.8711949
乌尔旗汗,49.5637138,121.3786291
乌山,28.308859,112.741453
乌拉山,40.6556998,108.7729096
乌拉山西,40.711605,108.645138
乌拉泊,43.704975,87.57594444
乌拉特前旗,40.73631667,108.6071056
乌日图,43.0633563,116.0277645
乌日根塔拉,43.26986,112.79717
乌江寨,27.449705,106.836993
乌海,39.71138889,106.7938889
乌海东,39.668875,106.8005722
乌海北,39.79972222,106.775
乌海南,39.43948333,106.7617056
乌海西,39.45444444,106.7338889
乌玛塘,30.55986,91.4314
乌石,24.569271,113.592225
乌苏,44.40765544,84.71534191
乌西,43.86805556,87.41805556
乌鲁布铁,49.88699735,124.3669082
乌鲁木齐,43.83939167,87.52633333
乌鲁木齐南,43.77916667,87.58333333
乌龙泉,30.25301121,114.3308051
乌龙泉东,30.26753833,114.3248532
乌龙泉南,30.25903333,114.340025
乍甸,23.4726461,103.1683374
乐东,18.44679722,108.9347222
乐化,28.8176,115.866
乐同,23.426113,113.169835
乐善村,25.02643837,103.1493754
乐坝,32.25922,106.681575
乐山,29.604339,103.710512
乐山北,29.7543944,103.5751333
乐平北,29.16023595,117.0369628
乐平市,28.969055,117.109093
乐昌,25.12930278,113.3578889
乐昌东,25.116295,113.390996
乐武,28.303344,102.623422
乐清,28.08795556,120.8553444
乐清东,28.20032222,120.9871167
乐素河,33.1933751,106.0466534
乐跃,27.2911371,102.321127
乐都,36.476276,102.433098
乐都南,36.46713611,102.3893889
乐里河,24.24225,106.284025
乔司,30.377277,120.260547
乔子玄,35.3539151,110.2679119
乔庄东,39.89330278,116.6905278
九,43.93773,126.46665
九三,48.87969914,125.249016
九佛,23.37823,113.49288
九公里,29.46132,106.55534
九华山,30.59858806,117.8499025
九台,44.1472,125.8316
九台南,44.019985,125.80469
九峰山,30.50225,114.4845
九架所,30.6547197,103.9713744
九标线路所,23.6128786,102.9022408
九树下,25.59444444,113.0144444
九江,29.70444444,116.0066667
九江北,29.722761,115.971483
九江南,29.68166667,115.9663889
九江西,29.64388889,115.8897222
九节壕所,30.3827045,112.1402935
九营,46.9179452,131.9452451
九郎山,27.921817,113.072072
九里,29.4835,103.5425
九里垄,29.62624722,115.8336833
九龙坡,29.39513,106.35311
九龙塘,28.362366,106.841859
九龙山,39.711525,118.9849639
九龙岗,32.61416667,117.1022222
九龙湖,30.03220556,121.5476778
乱石山,42.16992064,123.6737866
乳山,36.996529,121.502338
乳山南,36.875196,121.550079
乾县,34.506226,108.273193
乾安,45.097387,123.873895
了墩,43.1426397,92.2191776
二井,49.2455317,120.5659698
二十里铺,36.660516,119.125785
二台子,40.484499,124.037281
二塘,25.23527778,110.1952778
二密河,41.78672221,125.825473
二营,36.1842275,106.2440467
二营子,44.797413,125.035996
二连,43.65555556,111.9797222
二道岩,26.36280715,105.1617603
二道桥,27.484103,103.866374
二道沙河,40.6261756,109.9932779
二道沟,41.8495752,113.8368399
二道沟门,40.884213,117.144064
二道湾,47.9610767,124.5473289
二郎,37.092258,98.871365
二郎庙所,34.7081296,113.7805814
二郎集,33.43333333,115.8080556
二龙,41.6969868,119.2702823
二龙山屯,48.4876146,126.6351945
于官屯,37.394952,116.306724
于家庄,38.80805556,115.3547222
于洪,41.819665,123.311231
于田,36.8117047,81.6459232
于祥堡,38.691666,106.240932
于都,25.978426,115.410976
于都北,26.2624606,115.5941801
云东海,23.22053056,112.8405806
云南府,25.034,102.71624
云南驿,25.38222222,100.7030556
云县,24.40169344,100.1265679
云台山,34.69103,119.28572
云居寺,39.624536,115.808643
云山,23.11263056,114.4125861
云彩岭,39.4476009,114.3569258
云梦,31.02392778,113.7327083
云梦东,31.048013,113.778936
云浮,22.963753,112.056834
云浮东,23.014939,112.133366
云湖桥,27.82361111,112.7111111
云溪,29.474219,113.27157
云田乡,35.1118389,104.7163535
云盘,26.680481,113.5385638
云阳,31.000007,108.720116
云霄,23.8941,117.357
云龙,29.7764748,121.5877386
互做布其,41.148509,104.6590179
五七,41.3407395,121.8591499
五三乘降所,41.72555556,123.4544444
五个圈,37.9272146,95.2098369
五五,44.8581938,84.8164199
五公,38.13472222,115.6669444
五凤溪,30.6241711,104.4925907
五十家子,42.09251947,118.1651078
五华,24.059249,115.627708
五原,40.90974,108.04393
五叉沟,46.769263,120.3125407
五台山,38.867731,113.726379
五台山北,39.264393,113.559215
五合,22.8250027,108.5374364
五大连池,48.627213,126.610965
五女山,41.276761,125.321241
五家,45.542631,126.38694
五家户,45.694411,122.713792
五寨,38.916375,111.8274472
五峰,30.2211283,111.1035853
五常,44.9127,127.1353
五府山,28.23128889,118.0408028
五桥,30.7771177,108.4726641
五棵树,44.7989477,126.1537458
五河,33.12468889,117.843875
五眼桥所,23.1067202,113.1993488
五眼桥线路所,23.10888889,113.2002778
五莲,35.805414,119.201637
五营,48.1095801,129.2299335
五路,39.93361111,116.2802778
五通,25.37638889,110.0856944
五道梁,35.1947,93.0786
五道河,40.89152,117.060899
五里冲,23.63038639,102.9398662
五里堂所,36.734542,117.3130485
五里堡,34.71166667,113.6794444
五里墩,27.81,113.2088889
五里峰,28.027913,117.795764
五里铺,32.720295,108.906216
五阳,36.47012222,113.06485
五龙背,40.259972,124.275028
